Hd_A   0 1 4083.500 4122.250 4041.600 4079.750 4128.500 4161.000
Hd_F   0 1 4091.000 4112.250 4057.250 4088.500 4114.750 4137.250
CN1    1 0 4142.125 4177.125 4080.125 4117.625 4244.125 4284.125
CN2    1 0 4142.125 4177.125 4083.875 4096.375 4244.125 4284.125
Ca4227 0 0 4222.250 4234.750 4211.000 4219.750 4241.000 4251.000
G4300  0 0 4281.375 4316.375 4266.375 4282.625 4318.875 4335.125
Hg_A   0 1 4319.750 4363.500 4283.500 4319.750 4367.250 4419.750
Hg_F   0 1 4331.250 4352.250 4283.500 4319.750 4354.750 4384.750
Fe4383 0 0 4369.125 4420.375 4359.125 4370.375 4442.875 4455.375
Ca4455 0 0 4452.125 4474.625 4445.875 4454.625 4477.125 4492.125
Fe4531 0 0 4512.250 4559.250 4504.250 4514.250 4560.500 4579.250
C24668 0 0 4634.000 4720.250 4611.500 4630.250 4742.750 4756.500
Hb     0 0 4847.875 4876.625 4827.875 4847.875 4876.625 4891.625
Fe5015 0 0 4977.750 5054.000 4946.500 4977.750 5054.000 5065.250
Mg1    1 0 5069.125 5134.125 4895.125 4957.625 5301.125 5366.125
Mg2    1 0 5154.125 5196.625 4895.125 4957.625 5301.125 5366.125
Mgb    0 0 5160.125 5192.625 5142.625 5161.375 5191.375 5206.375
Fe5270 0 0 5245.625 5285.625 5233.125 5248.125 5285.625 5318.125
Fe5335 0 0 5312.125 5352.125 5304.625 5313.875 5353.375 5363.375
Fe5406 0 0 5387.500 5415.000 5376.250 5387.500 5415.000 5425.000
Fe5709 0 0 5696.625 5720.375 5672.875 5696.625 5722.875 5736.625
Fe5782 0 0 5776.625 5796.625 5765.375 5775.375 5797.875 5811.625
NaD    0 0 5876.625 5909.375 5860.625 5875.625 5922.125 5948.125
TiO1   1 0 5936.625 5994.125 5816.625 5849.125 6038.625 6103.625
TiO2   1 0 6189.625 6272.125 6066.625 6141.625 6372.625 6415.125
