*  
*               G D  5 0
*    Table file for GD 50 flux standard 
*    based on data from STScI ( see Turnshek et al. 
*    AJ, 99, 1243, 1990 ). Data extracted from STSDAS 
*    table held in CALSPEC directory at STScI. Fluxes 
*    formed from Voyager, IUE and optical ( Oke and 
*    others ) data. Note that these are fitted continuum 
*    fluxes, not directly measured fluxes and so should be 
*    treated in the same way as Fillipenko and Greenstein 
*    standards
*  
SET .Z.UNITS = "milli-Janskys" 
SET .Z.LABEL = "Flux" 
*  
   500.0001       4810.349    
   500.8347       4821.178    
   501.6707       4832.095    
   502.5081       4843.015    
   503.3468       4853.960    
   504.1870       4864.908    
   505.0286       4875.860    
   505.8716       4886.858    
   506.7160       4897.837    
   507.5619       4908.841    
   508.4091       4919.870    
   509.2577       4930.902    
   510.1078       4941.959    
   510.9593       4953.019    
   511.8122       4964.125    
   512.6665       4975.257    
   513.5222       4986.391    
   514.3794       4997.528    
   515.2380       5008.690    
   516.0981       5019.812    
   516.9595       5031.045    
   517.8224       5042.260    
   518.6868       5053.478    
   519.5526       5064.743    
   520.4199       5076.011    
   521.2885       5087.259    
   522.1587       5098.554    
   523.0303       5109.853    
   523.9033       5121.198    
   524.7778       5132.546    
   525.6538       5143.942    
   526.5312       5155.295    
   527.4101       5166.674    
   528.2905       5178.146    
   529.1723       5189.552    
   530.0556       5201.006    
   530.9404       5212.462    
   531.8266       5223.967    
   532.7144       5235.428    
   533.6036       5246.983    
   534.4943       5258.541    
   535.3865       5270.078    
   536.2802       5281.640    
   537.1753       5293.250    
   538.0720       5304.840    
   538.9701       5316.479    
   539.8698       5328.119    
   540.7709       5339.738    
   541.6736       5351.454    
   542.5778       5363.170    
   543.4834       5374.843    
   544.3906       5386.587    
   545.2993       5398.381    
   546.2095       5411.651    
   547.1213       5426.430    
   548.0345       5441.250    
   548.9493       5456.111    
   549.8657       5470.963    
   550.7834       5485.857    
   551.7029       5500.767    
   552.6238       5515.668    
   553.5462       5530.610    
   554.4702       5545.593    
   555.3957       5560.592    
   556.3228       5575.558    
   557.2514       5590.637    
   558.1816       5605.684    
   559.1133       5620.771    
   560.0466       5635.899    
   560.9814       5651.018    
   561.9178       5666.128    
   562.8558       5681.303    
   563.7953       5696.519    
   564.7364       5711.750    
   565.6791       5726.946    
   566.6233       5742.234    
   567.5691       5757.512    
   568.5165       5772.855    
   569.4655       5788.189    
   570.4160       5803.513    
   571.3682       5818.877    
   572.3219       5834.307    
   573.2772       5849.727    
   574.2342       5865.188    
   575.1927       5880.612    
   576.1528       5896.128    
   577.1145       5911.660    
   578.0779       5927.232    
   579.0428       5942.741    
   580.0093       5958.369    
   580.9775       5973.959    
   581.9473       5989.617    
   582.9186       6005.290    
   583.8917       6020.950    
   584.8663       6036.677    
   585.8426       6052.393    
   586.8205       6068.123    
   587.8000       6083.947    
   588.7812       6099.732    
   589.7640       6115.558    
   590.7484       6131.425    
   591.7345       6147.873    
   592.7222       6166.261    
   593.7116       6184.676    
   594.7026       6203.120    
   595.6953       6221.536    
   596.6896       6240.007    
   597.6857       6258.561    
   598.6833       6277.086    
   599.6827       6295.612    
   600.6837       6314.219    
   601.6863       6332.854    
   602.6907       6351.460    
   603.6967       6370.178    
   604.7043       6388.865    
   605.7137       6407.608    
   606.7248       6426.349    
   607.7375       6445.174    
   608.7520       6463.968    
   609.7681       6482.760    
   610.7860       6501.692    
   611.8055       6520.566    
   612.8267       6539.494    
   613.8497       6558.477    
   614.8743       6577.457    
   615.9007       6596.434    
   616.9288       6615.524    
   617.9586       6634.553    
   618.9901       6653.695    
   620.0233       6672.833    
   621.0582       6691.939    
   622.0949       6711.100    
   623.1333       6730.344    
   624.1735       6749.614    
   625.2153       6768.850    
   626.2589       6788.201    
   627.3043       6807.517    
   628.3514       6826.888    
   629.4003       6846.314    
   630.4509       6865.675    
   631.5032       6885.182    
   632.5573       6904.623    
   633.6132       6924.118    
   634.6708       6943.699    
   635.7302       6963.244    
   636.7914       6982.813    
   637.8544       7003.543    
   638.9191       7025.169    
   639.9855       7046.800    
   641.0538       7068.435    
   642.1239       7090.168    
   643.1957       7111.874    
   644.2693       7133.614    
   645.3448       7155.390    
   646.4220       7177.201    
   647.5010       7199.047    
   648.5818       7220.896    
   649.6644       7242.843    
   650.7488       7264.792    
   651.8351       7286.745    
   652.9232       7308.796    
   654.0130       7330.817    
   655.1047       7352.872    
   656.1982       7374.960    
   657.2935       7397.181    
   658.3907       7419.305    
