13.062 13.062    # From ESO web site (Bohlin source) 1
   1140.02    10.907 1
   1140.60    10.894 1
   1141.18    10.898 1
   1141.77    10.913 1
   1142.35    10.891 1
   1142.94    10.883 1
   1143.52    10.882 1
   1144.10    10.869 1
   1144.69    10.853 1
   1145.27    10.841 1
   1145.86    10.837 1
   1146.44    10.834 1
   1147.03    10.814 1
   1147.61    10.811 1
   1148.19    10.813 1
   1148.78    10.821 1
   1149.36    10.824 1
   1149.94    10.832 1
   1150.53    10.828 1
   1151.11    10.836 1
   1151.70    10.843 1
   1152.28    10.836 1
   1152.87    10.833 1
   1153.45    10.832 1
   1154.03    10.835 1
   1154.62    10.831 1
   1155.20    10.827 1
   1155.79    10.828 1
   1156.37    10.828 1
   1156.95    10.827 1
   1157.54    10.829 1
   1158.12    10.828 1
   1158.71    10.831 1
   1159.29    10.832 1
   1159.88    10.828 1
   1160.46    10.832 1
   1161.04    10.833 1
   1161.63    10.835 1
   1162.21    10.840 1
   1162.80    10.845 1
   1163.38    10.838 1
   1163.96    10.838 1
   1164.55    10.835 1
   1165.13    10.840 1
   1165.72    10.850 1
   1166.30    10.852 1
   1166.88    10.860 1
   1167.47    10.866 1
   1168.05    10.869 1
   1168.64    10.868 1
   1169.22    10.864 1
   1169.80    10.868 1
   1170.39    10.873 1
   1170.97    10.875 1
   1171.56    10.873 1
   1172.14    10.867 1
   1172.72    10.864 1
   1173.31    10.863 1
   1173.89    10.860 1
   1174.48    10.859 1
   1175.06    10.861 1
   1175.65    10.865 1
   1176.23    10.869 1
   1176.81    10.868 1
   1177.40    10.877 1
   1177.98    10.877 1
   1178.56    10.884 1
   1179.15    10.888 1
   1179.73    10.897 1
   1180.32    10.898 1
   1180.90    10.900 1
   1181.48    10.901 1
   1182.07    10.904 1
   1182.65    10.903 1
   1183.24    10.915 1
   1183.82    10.915 1
   1184.41    10.918 1
   1184.99    10.922 1
   1185.57    10.924 1
   1186.16    10.928 1
   1186.74    10.934 1
   1187.33    10.935 1
   1187.91    10.940 1
   1188.49    10.941 1
   1189.08    10.945 1
   1189.66    10.953 1
   1190.25    10.960 1
   1190.83    10.969 1
   1191.41    10.971 1
   1192.00    10.976 1
   1192.58    10.984 1
   1193.17    10.987 1
   1193.75    11.004 1
   1194.33    11.011 1
   1194.92    11.024 1
   1195.50    11.034 1
   1196.09    11.040 1
   1196.67    11.048 1
   1197.26    11.057 1
   1197.84    11.082 1
   1198.42    11.106 1
   1199.01    11.129 1
   1199.59    11.148 1
   1200.18    11.176 1
   1200.76    11.188 1
   1201.34    11.199 1
   1201.93    11.217 1
   1202.51    11.243 1
   1203.09    11.272 1
   1203.68    11.295 1
   1204.26    11.323 1
   1204.85    11.363 1
   1205.43    11.405 1
   1206.02    11.441 1
   1206.60    11.484 1
   1207.18    11.529 1
   1207.77    11.580 1
   1208.35    11.634 1
   1208.94    11.697 1
   1209.52    11.761 1
   1210.10    11.831 1
   1210.69    11.909 1
   1211.27    11.988 1
   1211.86    12.078 1
   1212.44    12.172 1
   1213.02    12.275 1
   1213.61    12.387 1
   1214.19    12.506 1
   1214.78    12.636 1
   1215.36    12.756 1
   1215.94    12.786 1
   1216.53    12.714 1
   1217.11    12.588 1
   1217.70    12.470 1
   1218.28    12.362 1
   1218.86    12.251 1
   1219.45    12.154 1
   1220.03    12.060 1
   1220.62    11.979 1
   1221.20    11.897 1
   1221.78    11.823 1
   1222.37    11.765 1
   1222.95    11.705 1
   1223.54    11.645 1
   1224.12    11.595 1
   1224.70    11.553 1
   1225.29    11.503 1
   1225.87    11.462 1
   1226.46    11.426 1
   1227.04    11.388 1
   1227.62    11.356 1
   1228.21    11.324 1
   1228.79    11.298 1
   1229.38    11.274 1
   1229.96    11.251 1
   1230.54    11.226 1
   1231.13    11.209 1
   1231.71    11.177 1
   1232.30    11.157 1
   1232.88    11.140 1
   1233.46    11.125 1
   1234.05    11.112 1
   1234.63    11.095 1
   1235.22    11.081 1
   1235.80    11.066 1
   1236.39    11.060 1
   1236.97    11.040 1
   1237.55    11.028 1
   1238.14    11.021 1
   1238.72    11.023 1
   1239.31    11.016 1
   1239.89    11.004 1
   1240.47    10.995 1
   1241.06    10.990 1
   1241.64    10.986 1
   1242.22    10.984 1
   1242.81    10.979 1
   1243.39    10.970 1
   1243.98    10.973 1
   1244.56    10.969 1
   1245.15    10.968 1
   1245.73    10.969 1
   1246.31    10.965 1
   1246.90    10.965 1
   1247.48    10.957 1
   1248.06    10.966 1
   1248.65    10.956 1
   1249.23    10.955 1
   1249.82    10.957 1
   1250.40    10.955 1
   1250.98    10.950 1
   1251.57    10.947 1
   1252.15    10.952 1
   1252.74    10.949 1
   1253.32    10.945 1
   1253.90    10.938 1
   1254.49    10.947 1
   1255.07    10.948 1
   1255.66    10.955 1
   1256.24    10.947 1
   1256.82    10.944 1
   1257.41    10.940 1
   1257.99    10.951 1
   1258.58    10.949 1
   1259.16    10.950 1
   1259.74    10.951 1
   1260.33    10.958 1
   1260.91    10.946 1
   1261.50    10.949 1
   1262.08    10.941 1
   1262.66    10.942 1
   1263.25    10.937 1
   1263.83    10.941 1
   1264.42    10.939 1
   1265.00    10.937 1
   1265.58    10.944 1
   1266.17    10.946 1
   1266.75    10.949 1
   1267.34    10.945 1
   1267.92    10.944 1
   1268.50    10.946 1
   1269.09    10.944 1
   1269.67    10.944 1
   1270.26    10.944 1
   1270.84    10.946 1
   1271.42    10.938 1
   1272.01    10.944 1
   1272.59    10.942 1
   1273.18    10.948 1
   1273.76    10.944 1
   1274.34    10.944 1
   1274.93    10.942 1
   1275.51    10.945 1
   1276.10    10.951 1
   1276.68    10.948 1
   1277.26    10.951 1
   1277.85    10.951 1
   1278.43    10.945 1
   1279.02    10.954 1
   1279.60    10.949 1
   1280.18    10.949 1
   1280.77    10.954 1
   1281.35    10.951 1
   1281.94    10.953 1
   1282.52    10.952 1
   1283.10    10.955 1
   1283.69    10.945 1
   1284.27    10.946 1
   1284.85    10.950 1
   1285.44    10.946 1
   1286.02    10.944 1
   1286.61    10.948 1
   1287.19    10.953 1
   1287.78    10.954 1
   1288.36    10.950 1
   1288.94    10.949 1
   1289.53    10.955 1
   1290.11    10.956 1
   1290.69    10.959 1
   1291.28    10.958 1
   1291.86    10.957 1
   1292.45    10.958 1
   1293.03    10.961 1
   1293.61    10.959 1
   1294.20    10.961 1
   1294.78    10.964 1
   1295.37    10.965 1
   1295.95    10.961 1
   1296.53    10.961 1
   1297.12    10.959 1
   1297.70    10.965 1
   1298.29    10.954 1
   1298.87    10.962 1
   1299.45    10.957 1
   1300.04    10.958 1
   1300.62    10.960 1
   1301.21    10.964 1
   1301.79    10.969 1
   1302.37    10.977 1
   1302.96    10.973 1
   1303.54    10.965 1
   1304.12    10.967 1
   1304.71    10.965 1
   1305.29    10.966 1
   1305.88    10.966 1
   1306.46    10.960 1
   1307.05    10.967 1
   1307.63    10.965 1
   1308.21    10.968 1
   1308.80    10.972 1
   1309.38    10.976 1
   1309.96    10.975 1
   1310.55    10.980 1
   1311.13    10.980 1
   1311.72    10.980 1
   1312.30    10.979 1
   1312.88    10.980 1
   1313.47    10.978 1
   1314.05    10.982 1
   1314.64    10.978 1
   1315.22    10.977 1
   1315.80    10.980 1
   1316.39    10.979 1
   1316.97    10.976 1
   1317.56    10.975 1
   1318.14    10.972 1
   1318.72    10.979 1
   1319.31    10.981 1
   1319.89    10.982 1
   1320.47    10.986 1
   1321.06    10.982 1
   1321.64    10.989 1
   1322.23    10.988 1
   1322.81    10.985 1
   1323.40    10.980 1
   1323.98    10.990 1
   1324.56    10.991 1
   1325.15    10.985 1
   1325.73    10.989 1
   1326.31    10.985 1
   1326.90    10.992 1
   1327.48    10.994 1
   1328.07    10.984 1
   1328.65    10.984 1
   1329.23    10.995 1
   1329.82    10.989 1
   1330.40    10.994 1
   1330.99    10.989 1
   1331.57    10.994 1
   1332.15    10.998 1
   1332.74    11.006 1
   1333.32    11.009 1
   1333.91    11.016 1
   1334.49    11.028 1
   1335.07    11.022 1
   1335.66    11.007 1
   1336.24    11.008 1
   1336.82    11.002 1
   1337.41    11.005 1
   1337.99    10.998 1
   1338.58    11.000 1
   1339.16    11.002 1
   1339.74    10.997 1
   1340.33    10.997 1
   1340.91    11.006 1
   1341.50    11.008 1
   1342.08    11.001 1
   1342.66    11.004 1
   1343.25    11.007 1
   1343.83    11.006 1
   1344.42    11.009 1
   1345.00    11.003 1
   1345.58    11.004 1
   1346.17    11.007 1
   1346.75    11.005 1
   1347.33    11.002 1
   1347.92    11.007 1
   1348.50    11.007 1
   1349.09    11.010 1
   1349.67    11.013 1
   1350.26    11.008 1
   1350.84    11.009 1
   1351.42    11.013 1
   1352.01    11.013 1
   1352.59    11.015 1
   1353.17    11.014 1
   1353.76    11.015 1
   1354.34    11.016 1
   1354.93    11.016 1
   1355.51    11.017 1
   1356.09    11.013 1
   1356.68    11.016 1
   1357.26    11.017 1
   1357.84    11.015 1
   1358.43    11.015 1
   1359.01    11.015 1
   1359.60    11.020 1
   1360.18    11.021 1
   1360.77    11.014 1
   1361.35    11.021 1
   1361.93    11.023 1
   1362.52    11.021 1
   1363.10    11.017 1
   1363.68    11.020 1
   1364.27    11.024 1
   1364.85    11.028 1
   1365.44    11.029 1
   1366.02    11.023 1
   1366.60    11.024 1
   1367.19    11.029 1
   1367.77    11.025 1
   1368.35    11.027 1
   1368.94    11.026 1
   1369.52    11.033 1
   1370.11    11.033 1
   1370.69    11.030 1
   1371.28    11.029 1
   1371.86    11.031 1
   1372.44    11.034 1
   1373.03    11.035 1
   1373.61    11.038 1
   1374.19    11.033 1
   1374.78    11.033 1
   1375.36    11.028 1
   1375.95    11.040 1
   1376.53    11.032 1
   1377.11    11.034 1
   1377.70    11.035 1
   1378.28    11.042 1
   1378.86    11.043 1
   1379.45    11.036 1
   1380.03    11.038 1
   1380.62    11.044 1
   1381.20    11.040 1
   1381.78    11.042 1
   1382.37    11.038 1
   1382.95    11.037 1
   1383.54    11.040 1
   1384.12    11.047 1
   1384.70    11.047 1
   1385.29    11.044 1
   1385.87    11.048 1
   1386.45    11.044 1
   1387.04    11.046 1
   1387.62    11.043 1
   1388.21    11.046 1
   1388.79    11.048 1
   1389.38    11.044 1
   1389.96    11.047 1
   1390.54    11.052 1
   1391.13    11.049 1
   1391.71    11.047 1
   1392.29    11.049 1
   1392.88    11.051 1
   1393.46    11.058 1
   1394.05    11.051 1
   1394.63    11.057 1
   1395.21    11.057 1
   1395.80    11.053 1
   1396.38    11.056 1
   1396.96    11.057 1
   1397.55    11.056 1
   1398.13    11.050 1
   1398.72    11.051 1
   1399.30    11.055 1
   1399.88    11.056 1
   1400.47    11.053 1
   1401.05    11.059 1
   1401.64    11.058 1
   1402.22    11.058 1
   1402.80    11.057 1
   1403.39    11.059 1
   1403.97    11.060 1
