14.70 14.70
3219.93 14.449 50
3239.93 14.480 50
3259.94 14.478 50
3279.94 14.448 50
3299.95 14.502 50
3319.95 14.504 50
3339.96 14.427 50
3359.97 14.436 50
3379.97 14.448 50
3399.97 14.495 50
3419.98 14.486 50
3439.99 14.433 50
3459.99 14.455 50
3480.00 14.442 50
3500.00 14.447 50
3520.01 14.439 50
3540.01 14.483 50
3560.02 14.465 50
3580.02 14.462 50
3600.03 14.468 50
3620.03 14.447 50
3640.04 14.445 50
3660.04 14.453 50
3680.05 14.426 50
3700.05 14.491 50
3720.06 14.460 50
3740.06 14.426 50
3760.07 14.454 50
3780.07 14.454 50
3800.08 14.481 50
3820.08 14.528 50
3840.09 14.462 50
3860.09 14.452 50
3880.10 14.487 50
3900.10 14.465 50
3920.11 14.446 50
3940.12 14.442 50
3960.12 14.489 50
3980.13 14.470 50
4000.13 14.475 50
4020.14 14.606 50
4040.14 14.479 50
4060.15 14.428 50
4080.15 14.408 50
4100.16 14.438 50
4120.16 14.470 50
4140.17 14.450 50
4160.17 14.441 50
4180.18 14.414 50
4200.18 14.438 50
4220.19 14.440 50
4240.19 14.441 50
4260.20 14.448 50
4280.20 14.458 50
4300.21 14.469 50
4320.21 14.475 50
4340.22 14.460 50
4360.23 14.465 50
4380.23 14.492 50
4400.24 14.494 50
4420.24 14.494 50
4440.25 14.532 50
4460.25 14.620 50
4480.26 14.649 50
4500.26 14.515 50
4520.27 14.513 50
4540.27 14.508 50
4560.28 14.515 50
4580.28 14.519 50
4600.29 14.526 50
4620.29 14.534 50
4640.30 14.529 50
4660.31 14.538 50
4680.31 14.547 50
4700.32 14.545 50
4739.33 14.560 50
4779.34 14.563 50
4819.35 14.564 50
4859.36 14.564 50
4899.37 14.603 50
4939.38 14.626 50
4979.39 14.625 50
5019.40 14.678 50
5059.41 14.626 50
5099.42 14.613 50
5139.43 14.611 50
5179.44 14.618 50
5219.45 14.624 50
5259.46 14.623 50
5299.48 14.642 50
5339.49 14.651 50
5379.50 14.655 50
5419.51 14.667 50
5459.52 14.684 50
5499.53 14.690 50
5539.54 14.695 50
5579.55 14.703 50
5619.56 14.712 50
5659.57 14.719 50
5699.58 14.729 50
5739.59 14.739 50
5779.60 14.743 50
5819.62 14.762 50
5859.63 14.901 50
5899.64 14.827 50
5939.65 14.778 50
5979.66 14.783 50
6019.67 14.783 50
6059.68 14.792 50
6099.69 14.801 50
6139.70 14.806 50
6179.71 14.816 50
6219.72 14.819 50
6259.73 14.820 50
6299.74 14.829 50
6339.75 14.785 50
6379.77 14.822 50
6419.78 14.827 50
6459.79 14.838 50
6499.80 14.837 50
6539.81 14.856 50
6579.82 14.870 50
6619.83 14.874 50
6659.84 14.946 50
6699.85 14.938 50
6739.86 14.912 50
6779.87 14.916 50
6819.88 14.933 50
6859.90 14.944 50
6899.91 14.955 50
6939.92 14.960 50
6979.93 14.963 50
7019.94 14.969 50
7059.95 15.075 50
7099.96 14.958 50
7139.97 14.960 50
7179.98 14.994 50
7219.99 14.971 50
7260.00 14.995 50
7300.02 15.004 50
7340.02 14.976 50
7380.04 14.982 50
7420.05 14.999 50
7460.06 15.007 50
7500.07 15.021 50
7540.08 15.033 50
7580.09 15.045 50
7620.10 15.056 50
7660.11 15.065 50
7700.12 15.070 50
7740.13 15.083 50
7780.14 15.091 50
7820.16 15.089 50
7860.17 15.085 50
7900.18 15.104 50
7940.19 15.106 50
7980.20 15.124 50
8020.21 15.114 50
8060.22 15.113 50
8100.23 15.125 50
8140.24 15.155 50
8180.25 15.142 50
8220.26 15.166 50
8260.27 15.151 50
8300.29 15.163 50
8340.30 15.142 50
8380.31 15.154 50
8420.32 15.160 50
8460.33 15.173 50
8500.34 15.180 50
8540.35 15.170 50
8580.36 15.188 50
8620.37 15.194 50
8660.38 15.189 50
8700.39 15.210 50
8740.40 15.236 50
8780.42 15.230 50
8820.43 15.224 50
8860.44 15.220 50
8900.45 15.252 50
8940.46 15.265 50
8980.47 15.249 50
9020.48 15.242 50
9060.49 15.273 50
9100.50 15.261 50
9140.51 15.277 50
9180.52 15.277 50
